,_id,qc_user,run_timestamp,_cls,cartridge_pass_fail,build_completion_date,build_completion_user,pressure_line_qc,rework,rework_description,dev_ncmr,entry_date,cartridge_type,membrane_lot,center_cap_lot,anolyte_tank_leak_rate,catholyte_tank_leak_rate,notes,qc_results,latest_assay_analysis_pass_fail,latest_assay_analysis_fail_reason,membrane_gap,tank_leak_rate,pressure_line_leak_rate,size_insert_lot,pn050_319_LCLot,pre_glue_x_measurement,pre_glue_z_measurement,b_date_ts,b_date,exp_date
0,5250811635,ekta.sharma,1755616222,MauriceCartridge.MauriceFlexCartridge,Pass,{'$date': 1754910000000},hang.pham@proteinsimple.com,,False,,CAN136,{'$date': 1754899278688},5,V030010725-07-2,55,,,,"[{'analysis_timestamp': 1755511473, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': 'Re-test', 'Fl': {}, 'run_id': 'mm0020_2025-08-18_07-45-33', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755525880, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755612632, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': '', 'Fl': {}, 'run_id': 'mm0020_2025-08-19_11-10-22', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755627036, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,1.7,PASS,PASS,,,,,1754910000000,2025-08-11 11:00:00,2026-08-31
1,1250815347,icaro.mesquita,1755517788,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755292500000},productionline@proteinsimple.com,0.0238,False,NA,NA,{'$date': 1755281771705},1,20117853,1825886,0.0272,0.0212,,"[{'analysis_timestamp': 1755510534, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1494_2025-08-18_04-49-48', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755524940, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755292500000,2025-08-15 21:15:00,2026-08-31
2,1250815352,icaro.mesquita,1755517815,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755296760000},productionline@proteinsimple.com,0.0182,False,NA,NA,{'$date': 1755286017383},1,20117853,1825886,0.0115,0.0082,,"[{'analysis_timestamp': 1755510899, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2179_2025-08-18_07-50-15', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525304, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755296760000,2025-08-15 22:26:00,2026-08-31
3,1250815354,icaro.mesquita,1755517890,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755296820000},productionline@proteinsimple.com,0.0172,False,NA,NA,{'$date': 1755286113794},1,20117853,1825886,0.0187,139.0,,"[{'analysis_timestamp': 1755511060, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1853_2025-08-18_07-51-30', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525472, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755296820000,2025-08-15 22:27:00,2026-08-31
4,1250815355,icaro.mesquita,1755517894,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755296880000},productionline@proteinsimple.com,0.0202,False,NA,NA,{'$date': 1755286163580},1,20117853,1825886,0.0229,0.0214,,"[{'analysis_timestamp': 1755511149, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf3051_2025-08-18_04-51-34', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525556, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755296880000,2025-08-15 22:28:00,2026-08-31
5,1250815356,icaro.mesquita,1755517944,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755298680000},productionline@proteinsimple.com,0.0281,False,NA,NA,{'$date': 1755288289056},1,20117853,1825749,0.0229,0.0214,,"[{'analysis_timestamp': 1755511223, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1130_2025-08-18_04-52-24', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525629, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755298680000,2025-08-15 22:58:00,2026-08-31
6,1250815350,icaro.mesquita,1755517956,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755294060000},productionline@proteinsimple.com,0.0206,False,NA,NA,{'$date': 1755283383704},1,20117853,1825886,0.0095,0.0096,,"[{'analysis_timestamp': 1755510615, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1978_2025-08-18_04-52-36', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525021, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755294060000,2025-08-15 21:41:00,2026-08-31
7,1250815348,poojan.patel,1755542298,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755292620000},productionline@proteinsimple.com,0.0183,False,NA,NA,{'$date': 1755281876888},1,20117853,1825886,0.0086,0.0071,,"[{'analysis_timestamp': 1755510317, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': ['Mkr 3.38', '5.85', '6.14', '9.99', 'Mkr 10.17'], 'Sufficient Data': {}}, 'failure_type': 'Re-test', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': ['6.14', 'Mkr 10.17'], 'Resolution Avg_Failures': ['6.14'], 'Sufficient Data': {}}, 'run_id': 'kf2980_2025-08-18_04-53-43', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755524729, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755547047, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2009_2025-08-18_11-38-18', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755561453, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755292620000,2025-08-15 21:17:00,2026-08-31
8,1250815353,poojan.patel,1755542118,MauriceCartridge.MauriceIEFCartridge,Fail,{'$date': 1755296820000},productionline@proteinsimple.com,0.0191,False,NA,NA,{'$date': 1755286069640},1,20117853,1825886,0.0287,0.0237,q002,"[{'analysis_timestamp': 1755511014, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': 'Re-test', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2009_2025-08-18_04-54-27', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525421, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755546426, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': 'Scrap', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf3051_2025-08-18_11-35-18', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755560838, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Fail,Scrap,,,,,,,,1755296820000,2025-08-15 22:27:00,2026-08-31
9,1250815351,icaro.mesquita,1755518071,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755294420000},productionline@proteinsimple.com,0.0207,False,NA,NA,{'$date': 1755283706952},1,20117853,1825749,0.0286,0.0249,,"[{'analysis_timestamp': 1755510707, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1987_2025-08-18_04-54-31', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755525112, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755294420000,2025-08-15 21:47:00,2026-08-31
